dataset,codec,payload_bytes,realized_ratio,detector,path,seed,point_f1,event_f1,pr_auc,vus_pr,tau,rmse,gpu_model
Spike,R0,4800,1.0,PCA,A,42,0.5555555555555556,0.6666666666666666,0.3012101889532991,0.6958767155653159,0.31530897538306835,0.0,cpu
Spike,R0,4800,1.0,IF,A,42,0.417910447761194,0.4444444444444445,0.2302435202281713,0.6654770834265008,0.5251352256028748,0.0,cpu
Spike,Q8,1208,3.9735099337748343,PCA,A,42,0.5555555555555556,0.6666666666666666,0.30106477880788896,0.6960667586278754,0.31530897538306835,0.005451905273654797,cpu
Spike,Q8,1208,3.9735099337748343,IF,A,42,0.4057971014492754,0.3636363636363636,0.22820153627339546,0.6566105612389338,0.5251352256028748,0.005451905273654797,cpu
Spike,Q4,608,7.894736842105263,PCA,A,42,0.03469210754553339,0.16666666666666669,0.2758369143711915,0.6614201200472257,0.31530897538306835,0.09484131730341717,cpu
Spike,Q4,608,7.894736842105263,IF,A,42,0.17391304347826086,0.06818181818181818,0.15129429492952445,0.5980141191270063,0.5251352256028748,0.09484131730341717,cpu
Spike,R4,150,32.0,D4,B,42,0.0,0.0,0.016395604395604398,0.04593298140385069,2.775142561223385,,cpu
Rhythm,R0,4800,1.0,PCA,A,42,0.8855421686746988,0.4,0.7051403410743969,0.849595763004664,0.11814966475964493,0.0,cpu
Rhythm,R0,4800,1.0,IF,A,42,0.8277945619335347,0.45454545454545453,0.7078000131833376,0.8838925412842562,0.5233571372241831,0.0,cpu
Rhythm,Q8,1208,3.9735099337748343,PCA,A,42,0.8855421686746988,0.4,0.7047591209969948,0.8494232535419155,0.11814966475964493,0.002480368556544292,cpu
Rhythm,Q8,1208,3.9735099337748343,IF,A,42,0.8277945619335347,0.45454545454545453,0.7057967899354556,0.8835773603861803,0.5233571372241831,0.002480368556544292,cpu
Rhythm,Q4,608,7.894736842105263,PCA,A,42,0.32112068965517243,0.052631578947368425,0.7026624218842507,0.8507871450901724,0.11814966475964493,0.042580132393368615,cpu
Rhythm,Q4,608,7.894736842105263,IF,A,42,0.7953890489913544,0.32,0.7041778769420152,0.8738716772986831,0.5233571372241831,0.042580132393368615,cpu
Rhythm,R4,150,32.0,D4,B,42,0.7086614173228346,0.923076923076923,0.6682215628357324,0.7312347082773252,2.079361544879665,,cpu
Drift,R0,4800,1.0,PCA,A,42,0.8294829482948295,0.9333333333333333,0.7711620169679306,0.8461748324663447,0.12315026985470336,0.0,cpu
Drift,R0,4800,1.0,IF,A,42,0.7204819277108434,0.9615384615384615,0.8324553852732061,0.8938221634507719,0.5305317509582371,0.0,cpu
Drift,Q8,1208,3.9735099337748343,PCA,A,42,0.8320526893523601,0.9523809523809523,0.7735940349110928,0.8482123892710951,0.12315026985470336,0.003947236965517281,cpu
Drift,Q8,1208,3.9735099337748343,IF,A,42,0.7266187050359713,0.9615384615384615,0.8327744834725759,0.894239828590125,0.5305317509582371,0.003947236965517281,cpu
Drift,Q4,608,7.894736842105263,PCA,A,42,0.6009615384615384,0.6666666666666666,0.6696125698863693,0.7429131645513443,0.12315026985470336,0.06890749629816109,cpu
Drift,Q4,608,7.894736842105263,IF,A,42,0.7077534791252486,0.5,0.7449806022340563,0.8114903180372811,0.5305317509582371,0.06890749629816109,cpu
Drift,R4,150,32.0,D4,B,42,0.21476510067114093,0.8,0.48186771583283977,0.5250705626538797,2.200009968922311,,cpu
Drift,R4-decode,150,32.0,PCA,A,42,0.5991611743559018,1.0,0.34437542350796874,0.3920634158852808,0.12315026985470336,0.34585739336796645,cpu
Chaos,R0,4800,1.0,PCA,A,42,0.9030303030303031,0.6666666666666666,0.9529326071652184,0.98756066426112,0.12315026985470336,0.0,cpu
Chaos,R0,4800,1.0,IF,A,42,0.8580441640378549,0.4444444444444445,0.8743462191425009,0.9477210029008369,0.5305317509582371,0.0,cpu
Chaos,Q8,1208,3.9735099337748343,PCA,A,42,0.9003021148036254,0.5,0.9531147423708184,0.98756066426112,0.12315026985470336,0.004037871812356976,cpu
Chaos,Q8,1208,3.9735099337748343,IF,A,42,0.8580441640378549,0.4444444444444445,0.8693788580473629,0.9449926526410278,0.5305317509582371,0.004037871812356976,cpu
Chaos,Q4,608,7.894736842105263,PCA,A,42,0.22744503411675512,1.0,0.9605118256405292,0.9902553978559555,0.12315026985470336,0.07004376518630748,cpu
Chaos,Q4,608,7.894736842105263,IF,A,42,0.5333333333333333,0.09615384615384615,0.8647748081844296,0.9354580575003375,0.5305317509582371,0.07004376518630748,cpu
Chaos,R4,150,32.0,D4,B,42,0.1553398058252427,0.5,0.14822005398151974,0.16289809317619766,2.200009968922311,,cpu
UCR,R0,191508,1.0,PCA,A,42,0.0,0.0,0.017173796160057642,0.01772852378197879,1795475.2652261332,0.0,cpu
UCR,R0,191508,1.0,IF,A,42,0.24246395806028834,0.06557377049180328,0.17668642486727107,0.14977722718836162,0.622180960762438,0.0,cpu
UCR,Q8,47885,3.999331732275243,PCA,A,42,0.0,0.0,0.0171982980097452,0.017752716625022334,1795475.2652261332,2.195143514272782,cpu
UCR,Q8,47885,3.999331732275243,IF,A,42,0.24167210973220118,0.0625,0.17665202267497027,0.14801324003031896,0.622180960762438,2.195143514272782,cpu
UCR,Q4,23947,7.997160395874222,PCA,A,42,0.0,0.0,0.016781442177957184,0.017122519713871985,1795475.2652261332,37.061409523856035,cpu
UCR,Q4,23947,7.997160395874222,IF,A,42,0.25452109845947757,0.07843137254901959,0.20728285919556977,0.1648607835424785,0.622180960762438,37.061409523856035,cpu
UCR,R4,5984,32.0,D4,B,42,0.010554089709762533,0.020618556701030924,0.014364408040079917,0.01469506988441553,4.775144943067589,,cpu
Spike,R0,4800,1.0,PCA,A,43,0.5633802816901409,1.0,0.3052586528486884,0.7000581936576784,0.34580853242137155,0.0,cpu
Spike,R0,4800,1.0,IF,A,43,0.5135135135135135,0.16666666666666669,0.35523376820624153,0.7866398657721323,0.5112121334041986,0.0,cpu
